交易哈希,区块高度,时间,发送方,接收方,代币符号,代币名称,代币合约,数量,方法,类型
0xd2a70f5735c11784573763986f6bb49860ba4fa88e987f0307198861c1123664,7104758,2026-07-13 03:19:20,0x4c0e0B54769823b37551f5f6C7E3Bd02a51886F9,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,11121.0,transfer,token_transfer
0x2c8ba3aecc459bca0cdbb0839f1e26faa6b4ea8f367007e9a7dd8875e232a24a,7102998,2026-07-13 01:43:41,0xaB8D392CeCb0E190be36D3B272f27AbF17E73e8E,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,905.0,transfer,token_transfer
0xd24d6be6675801e59142b1637727cc3e0a40378a6fcdba15d6a93d211095c8c4,7102976,2026-07-13 01:42:32,0x73348906d4aEBafc2D6dB54d853F3feCbbA52D4D,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,541.0,transfer,token_transfer
0xeaa81b4dd99106ec2a4f5c5c5548f80379b8c8f387a8aad4692acc112a5e8660,7093382,2026-07-12 17:02:19,0x1AEDdCc925cD368AF0d58d0eD8A259491deDE322,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,178.1752,transfer,token_transfer
0xf9f2015d03836e6b4c9c4c5ff7840be744c4dd16f08a87efb6ad5d3f52d5c06e,7092874,2026-07-12 16:34:49,0x7E9DA21Eb01BA133c35891e4fd577FF6E5400434,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,54495.07570662105,transfer,token_transfer
0xebc9dbb7a8fbd6f5bd20c36c65b2294578f82d68070c353c242536d4d467690c,7092238,2026-07-12 16:00:22,0xF78964BC7AA7B971df851A8FAA1beFa27fa95420,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,425.768643,transfer,token_transfer
0x68623b58b0de5f081413753dbcabbbda45a2ec60800817a9741468ce9f5f129f,7092227,2026-07-12 15:59:46,0xF50a476A5d1C17D5C3B13328708FC159afE8CCA6,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,831.542394,transfer,token_transfer
0x944d63212dee55e70a6300cc941e6a8ecc9a4f4e3809543dd6316877046312c9,7092106,2026-07-12 15:53:07,0x070a2Db9D6c402cfE0d01c9196CEd4e7CD20F358,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xC1A34Cca87f79125718714C56e8Ee59EAA195FEE,2167.0,transfer,token_transfer
0xcd7465b8e7217c9f81b1f131e0f0bef22dc61db50994cddd1e873d0b6293ad4d,7091040,2026-07-12 14:55:13,0x2ab2220B84Cb5A0C814a1921dcfEE2631231b5Ae,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,17237.367732,transfer,token_transfer
0x5c72de1c7355b317fbaf2e1517c27c27fae17da9d3c3df19dbc21930d2a1226a,7090275,2026-07-12 14:13:22,0xb6318867d9d556fE4A057FBe087851e0063081A7,0xe57aAcE18ef9c0C036c417209b0299f8C4e7857C,PGL,PG LONG,0xFc211A476eF74f7E6E7cAcB1a0B55E4203fA387f,1014.1912,transfer,token_transfer
